word,frequency
afghanistan,72
alaska,68
barack obama,145
bill clinton,39
british,30
california,104
cambridge,38
canada,34
capitol hill,39
chicago,29
china,56
cnn,31
crowley,31
dick cheney,27
europe,29
florida,32
fox news,31
gates,59
george w. bush,67
gop,58
henry louis gates,40
hillary clinton,32
huffington post,33
iran,53
iraq,95
james crowley,27
john mccain,49
los angeles,36
massachusetts,36
michael jackson,42
new jersey,27
new york,86
new york times,93
obama administration,33
pakistan,26
pentagon,34
reagan,27
republican party,49
ronald reagan,30
russia,27
sarah palin,95
sonia sotomayor,35
sotomayor,37
south carolina,30
supreme court,91
texas,42
vietnam,43
wall street,59
wall street journal,29
washington post,60
