word,frequency
affordable care act,56
afghanistan,74
barack obama,61
bill clinton,38
british,42
california,89
central america,59
china,70
christian,42
d.c.,40
egypt,61
el salvador,42
europe,84
european,47
florida,40
france,51
gaza,109
george w. bush,57
germany,64
gop,60
guatemala,43
hamas,100
hobby lobby,60
honduras,47
iran,78
iraq,141
isis,45
israel,147
israeli,115
israelis,84
jewish,64
mexico,66
middle east,96
new york,70
new york times,66
palestine,44
palestinian,94
palestinians,74
republican party,38
russia,90
supreme court,126
syria,96
tea party,39
texas,76
ukraine,48
united nations,42
wall street,38
washington post,48
west bank,48
western,41
