word,frequency
abc,33
afghanistan,60
al gore,39
baghdad,38
barack,35
barack obama,301
bill,56
bill clinton,104
bill moyers,42
california,57
chicago,58
china,71
cnn,34
democratic party,81
florida,52
fox news,34
george bush,53
george w. bush,79
gop,35
hillary clinton,235
huffington post,48
huffingtonpost,35
huffingtonpost,34
illinois,33
indiana,58
iowa,35
iran,87
iraq,277
israel,70
jeremiah wright,67
john kerry,39
john mccain,226
martin luther king,43
michigan,41
middle east,55
new york,77
new york times,94
north carolina,47
ohio,52
pennsylvania,167
philadelphia,47
republican party,36
san francisco,46
senator obama,52
supreme court,36
texas,62
tibet,32
vietnam,44
washington post,33
wright,62
