word,frequency
afghanistan,99
barack obama,135
bill clinton,38
british,29
california,81
capitol hill,35
chicago,34
china,47
christian,31
d.c.,26
democratic party,35
dick cheney,31
don,30
europe,37
fox news,37
george w. bush,75
glenn beck,31
gop,69
great depression,30
haiti,26
harry reid,42
house of representatives,26
huffingtonpost,25
illinois,36
iran,36
iraq,101
israel,27
john mccain,40
massachusetts,74
medicare,29
new deal,25
new york,82
newt gingrich,25
obama administration,32
pakistan,27
pentagon,36
reagan,34
republican party,53
ronald reagan,39
rush limbaugh,26
sarah palin,86
scott brown,50
social security,29
state,26
supreme court,60
taliban,25
tea party,70
texas,42
virginia,29
wall street,110
