word,frequency
afghan,43
afghanistan,169
arizona,66
barack obama,132
bill clinton,38
bp,171
british,35
california,106
chicago,33
china,47
democratic party,38
europe,40
florida,45
gaza,44
george w. bush,60
germany,37
gop,57
gulf,134
gulf coast,41
iran,48
iraq,109
israel,74
israeli,56
jewish,36
john mccain,39
louisiana,35
mcchrystal,57
mexico,94
middle east,38
new york,67
new york times,74
obama administration,33
oval office,32
pakistan,51
pentagon,42
rand paul,37
reagan,34
republican party,41
rolling stone,40
sarah palin,52
south carolina,39
stanley mcchrystal,54
supreme court,86
taliban,51
tea party,59
texas,46
vietnam,43
wall street,93
washington post,37
world war ii,37
