word,frequency
afghanistan,98
al gore,42
barack obama,278
bill,42
bill clinton,72
california,88
chicago,38
china,64
christian,39
cnn,38
democratic party,97
florida,87
george bush,78
george w. bush,102
gop,57
hamas,46
hillary clinton,220
huffington post,58
illinois,40
indiana,100
iowa,38
iran,138
iraq,334
israel,123
israeli,61
jeremiah wright,52
jewish,47
john kerry,41
john mccain,250
karl rove,45
kennedy,39
kentucky,55
michigan,68
middle east,80
new york,85
new york times,94
north carolina,83
ohio,80
pakistan,39
pennsylvania,82
pentagon,46
republican party,50
senator obama,54
supreme court,50
texas,70
vietnam,44
virginia,41
washington post,52
west virginia,58
wright,48
