word,frequency
afghanistan,90
arab,61
barack obama,85
british,32
cairo,78
california,73
chicago,33
china,64
d.c.,31
egypt,197
europe,42
george w. bush,45
gop,65
hosni mubarak,54
huffingtonpost,63
illinois,34
iran,82
iraq,91
islamic,34
israel,79
israeli,39
libya,35
madison,68
middle east,124
mubarak,77
muslim,31
muslim brotherhood,38
new deal,33
new york,75
new york times,54
ohio,35
pakistan,32
pentagon,37
reagan,61
republican party,34
ronald reagan,61
scott walker,63
soviet union,30
supreme court,56
tahrir square,38
tea party,46
texas,31
tunisia,79
union,30
walker,51
wall street,83
washington post,34
wisconsin,118
world war ii,30
yemen,36
