word,frequency
afghan,33
afghanistan,157
barack obama,155
california,62
capitol hill,28
chicago,69
china,43
christian,36
copenhagen,29
d.c.,31
democratic party,35
don,36
europe,41
florida,30
george w. bush,61
glenn beck,40
gop,44
harry reid,27
huffington post,34
iran,60
iraq,120
israel,38
john mccain,31
martin luther king,29
mcchrystal,26
medicare,27
middle east,39
muslim,26
new york,64
new york times,80
nobel,30
nobel committee,28
nobel peace prize,63
nobel prize,30
olympics,32
pakistan,51
pentagon,29
reagan,26
republican party,41
rush limbaugh,44
sarah palin,33
senate finance committee,35
supreme court,35
taliban,48
texas,39
vietnam,36
virginia,26
wall street,70
washington post,38
world war ii,28
