word,frequency
afghanistan,135
alaska,42
arizona,44
barack obama,147
bill clinton,55
california,132
china,67
colorado,46
democratic party,74
election day,44
florida,56
fox news,49
george w. bush,99
glenn beck,41
gop,127
great depression,37
harry reid,62
hillary clinton,37
house of representatives,53
illinois,42
iran,56
iraq,123
israel,54
john boehner,57
john mccain,36
karl rove,41
medicare,46
mitch mcconnell,38
nancy pelosi,47
nevada,60
new york,76
new york times,91
obama administration,40
pakistan,38
pentagon,40
rand paul,46
reagan,45
republican party,88
ronald reagan,43
russia,48
sarah palin,81
sharron angle,47
social security,86
supreme court,69
tea partiers,36
tea party,198
texas,42
vietnam,44
wall street,145
washington post,40
