word,frequency
afghanistan,86
anthony weiner,50
arizona,31
bachmann,24
barack obama,60
bill clinton,33
california,64
china,48
d.c.,30
europe,32
european,25
florida,35
george w. bush,54
germany,24
gop,83
hillary clinton,28
huffington post,29
huffingtonpost,28
iran,25
iraq,75
israel,34
jewish,28
john mccain,38
libya,47
massachusetts,32
medicare,52
mexico,26
michele bachmann,40
middle east,39
mitt romney,49
new hampshire,35
new york,101
new york times,56
newt gingrich,41
ohio,26
pakistan,38
paul ryan,35
pentagon,28
republican party,42
ronald reagan,26
sarah palin,49
social security,43
supreme court,54
tea party,67
texas,37
tim pawlenty,27
virginia,26
wall street,59
wall street journal,24
wisconsin,28
