word,frequency
afghanistan,105
africa,33
barack obama,314
bill clinton,66
blagojevich,47
british,33
bush administration,43
california,107
caroline kennedy,53
chicago,69
china,55
christian,53
detroit,42
dick cheney,48
europe,39
florida,36
fox news,33
george bush,62
george w. bush,99
gop,39
hillary clinton,103
illinois,85
india,51
iran,59
iraq,205
israel,53
john mccain,70
karl rove,35
kennedy,47
middle east,45
mumbai,45
new york,118
new york city,35
new york times,79
pakistan,52
pentagon,42
president-elect obama,34
republican party,33
rick warren,78
robert gates,39
rod blagojevich,57
russia,35
sarah palin,58
state,42
supreme court,44
taliban,37
wall street,80
warren,52
washington post,38
world war ii,36
