word,frequency
afghanistan,121
africa,51
african american,70
african americans,53
alaska,80
arizona,62
barack obama,616
bill clinton,86
california,191
chicago,103
china,69
christian,60
cnn,54
colorado,69
democratic party,75
election day,71
europe,64
florida,147
george bush,78
george w. bush,138
georgia,65
gop,72
hillary clinton,95
illinois,55
iran,85
iraq,262
israel,67
joe biden,53
john kerry,60
john mccain,245
martin luther king,48
middle east,68
muslim,55
new york,115
new york times,85
north carolina,55
ohio,98
pakistan,54
pennsylvania,83
prop,56
proposition,70
republican party,81
ronald reagan,64
russia,57
sarah palin,189
supreme court,69
texas,53
vietnam,49
virginia,80
wall street,83
