word,frequency
affordable care act,52
afghanistan,71
barack obama,68
california,65
china,62
christian,30
citizens united,34
crimea,54
d.c.,36
eu,32
europe,73
european,51
european union,37
george w. bush,35
germany,33
gop,39
huffingtonpost,33
india,34
iran,66
iraq,61
israel,64
israeli,40
israelis,30
japan,35
jewish,51
john kerry,31
middle east,45
moscow,37
nato,37
new york,74
new york city,36
new york times,65
obamacare,29
pakistan,33
palestinian,33
paul ryan,31
putin,47
republican party,37
russia,90
supreme court,101
syria,50
taliban,32
texas,54
ukraine,76
un,33
united nations,38
vladimir putin,46
wall street,32
west,44
western,43
