word,frequency
afghanistan,37
al sharpton,20
alberto gonzales,23
baghdad,41
barack obama,30
bush administration,29
california,38
cbs,18
china,25
cho,21
christian,26
cnn,23
dick cheney,37
don imus,42
europe,18
florida,22
george bush,29
george w. bush,47
gonzales,18
gop,18
harry reid,24
hillary clinton,27
hollywood,19
huffingtonpost,30
huffingtonpost,18
imus,62
iran,40
iraq,223
israel,23
jesus,21
john edwards,31
john kerry,25
john mccain,31
karl rove,25
middle east,27
msnbc,26
nancy pelosi,25
nbc,22
new york,46
new york times,51
pentagon,22
president bush,18
supreme court,28
syria,21
texas,27
vietnam,34
virginia,36
virginia tech,52
washington post,39
world bank,19
