word,frequency
afghanistan,73
arizona,31
barack obama,107
bill clinton,38
california,74
chicago,45
china,51
chuck hagel,43
cia,34
d.c.,40
europe,41
florida,73
george w. bush,57
germany,33
gop,75
hagel,36
hillary clinton,35
huffingtonpost,50
iran,59
iraq,85
israel,53
israeli,30
jewish,39
john mccain,36
marco rubio,42
medicare,33
mexico,41
middle east,38
mitt romney,42
new york,77
new york city,30
new york times,70
newtown,32
ohio,32
pakistan,29
reagan,30
republican party,57
ronald reagan,35
rubio,32
state,44
state of the union,37
supreme court,71
tea party,44
texas,71
union,65
union address,29
vietnam,38
virginia,43
wall street,51
washington post,34
