word,frequency
afghanistan,61
bachmann,36
barack obama,98
bill clinton,36
california,71
china,66
christian,51
d.c.,44
egypt,39
europe,44
florida,53
fox news,35
george w. bush,54
gop,118
herman cain,57
hillary clinton,37
iowa,104
iran,72
iraq,114
israel,56
john mccain,39
kansas,31
los angeles,33
massachusetts,39
michele bachmann,63
middle east,60
mitt romney,125
new hampshire,42
new york,81
new york city,33
new york times,73
newt,55
newt gingrich,171
occupy,52
occupy wall street,71
ohio,36
paul,45
perry,55
reagan,33
republican party,62
rick perry,90
rick santorum,33
ron paul,79
ronald reagan,39
supreme court,57
tea party,75
texas,63
wall street,125
washington post,38
wisconsin,31
