word,frequency
abraham lincoln,23
afghanistan,73
alaska,25
barack obama,165
bill clinton,32
bobby jindal,26
bush administration,22
california,58
capitol hill,30
chicago,31
china,24
dick cheney,22
europe,30
florida,31
fox news,21
geithner,23
george bush,26
george w. bush,63
gop,76
great depression,36
hillary clinton,37
illinois,29
iran,23
iraq,116
israel,21
john mccain,59
lincoln,26
los angeles,21
louisiana,26
michael steele,28
middle east,20
new deal,20
new york,44
new york times,46
obama administration,20
pakistan,27
paul krugman,26
pentagon,20
reagan,31
republican party,54
ronald reagan,37
rush limbaugh,43
sarah palin,38
south carolina,26
taliban,26
texas,30
vietnam,20
wall street,90
washington post,33
world war ii,23
