word,frequency
afghanistan,120
arizona,38
bain capital,34
barack obama,135
bill clinton,47
california,84
chicago,53
china,70
christian,45
citizens united,31
d.c.,36
democratic party,40
europe,86
european,33
florida,60
france,48
george w. bush,75
germany,44
gop,76
hillary clinton,34
indiana,39
iran,68
iraq,111
israel,45
massachusetts,52
middle east,36
mitt romney,203
nato,33
new york,100
new york city,45
new york times,91
newt gingrich,31
north carolina,75
ohio,42
pakistan,41
paul ryan,32
pennsylvania,37
pentagon,30
republican party,61
russia,35
social security,36
supreme court,85
tea party,55
texas,50
vietnam,38
virginia,45
wall street,105
washington post,45
wisconsin,38
world war ii,44
