word,frequency
afghan,40
afghanistan,187
alaska,32
barack obama,130
bill clinton,26
british,29
california,75
chicago,30
china,48
christian,30
democratic party,45
europe,31
florida,27
fort hood,47
fox news,32
george w. bush,51
glenn beck,31
goldman sachs,27
gop,46
harry reid,28
hasan,32
hillary clinton,31
iran,32
iraq,149
islamic,34
israel,36
joe lieberman,29
john mccain,36
maine,42
medicare,26
middle east,37
muslim,41
nancy pelosi,40
new jersey,49
new york,109
new york city,45
new york times,86
pakistan,46
pentagon,38
republican party,54
ronald reagan,26
rush limbaugh,37
sarah palin,77
supreme court,32
taliban,51
texas,45
vietnam,46
virginia,64
wall street,80
world war ii,36
