word,frequency
afghanistan,70
al gore,30
barack obama,87
benazir bhutto,33
bhutto,26
bill clinton,62
bush administration,35
california,38
china,45
christian,40
cia,33
democratic party,28
florida,26
george bush,33
george w. bush,56
giuliani,36
gop,38
hillary clinton,119
huffington post,31
illinois,31
iowa,134
iran,117
iranian,28
iraq,224
islamic,29
israel,43
jesus,33
joe biden,28
john edwards,71
john mccain,33
kennedy,27
middle east,50
mike huckabee,67
mitt romney,66
muslim,27
national intelligence estimate,34
new hampshire,64
new york,65
new york times,60
nie,36
pakistan,65
pakistani,27
president bush,27
ronald reagan,29
rudy giuliani,42
russia,26
south carolina,26
supreme court,42
taliban,30
washington post,45
