word,frequency
afghanistan,82
arizona,32
arkansas,40
barack obama,70
bill clinton,37
boston,135
boston marathon,58
british,31
california,88
chicago,28
china,36
christian,51
colorado,31
connecticut,32
d.c.,42
europe,50
florida,37
george w. bush,60
germany,29
gop,47
iran,41
iraq,95
islamic,31
israel,47
jewish,32
london,27
martin luther king,33
massachusetts,38
middle east,37
mitt romney,28
muslim,30
new york,112
new york city,55
new york times,71
newtown,43
north korea,29
nra,43
pakistan,27
pentagon,31
republican party,41
russia,41
san francisco,27
sandy hook,30
supreme court,85
syria,34
texas,67
wall street,52
washington post,32
west,28
world war ii,28
