word,frequency
affordable care act,59
afghanistan,79
assad,141
barack obama,91
bashar al-assad,61
british,54
california,64
china,60
d.c.,37
damascus,36
egypt,36
europe,39
france,38
george w. bush,50
gop,58
house of representatives,47
iran,100
iraq,152
israel,60
john boehner,31
john kerry,64
john mccain,35
jordan,31
lebanon,36
libya,45
middle east,99
new york,87
new york city,47
new york times,94
obamacare,45
putin,33
republican party,48
ronald reagan,30
russia,96
saddam hussein,45
saudi arabia,32
social security,30
supreme court,41
syria,265
tea party,64
ted cruz,40
texas,48
turkey,37
un,42
united nations,57
vietnam,43
vladimir putin,39
wall street,48
washington post,33
world war ii,31
