word,frequency
afghanistan,75
bain capital,65
barack obama,162
bill clinton,41
california,72
china,97
christian,51
citizens united,52
cnn,39
d.c.,37
europe,63
european,46
florida,117
fox news,39
george w. bush,85
gop,174
iowa,139
iran,90
iraq,108
israel,60
john mccain,59
jon huntsman,46
king,44
martin luther king,40
massachusetts,89
michele bachmann,37
middle east,49
mitt romney,316
new hampshire,143
new york,83
new york times,82
newt,88
newt gingrich,251
occupy wall street,41
pakistan,38
paul,84
pennsylvania,41
perry,58
reagan,43
republican party,97
rick perry,97
rick santorum,167
ron paul,145
ronald reagan,53
south carolina,182
supreme court,105
tea party,92
texas,87
wall street,107
washington post,38
