word,frequency
afghanistan,36
al gore,29
al qaeda,22
baghdad,40
barack obama,24
bill clinton,17
british,23
bush administration,24
california,27
capitol hill,17
china,28
cnn,20
constitution,17
cuba,17
d.c.,21
democratic party,17
dick cheney,41
europe,25
florida,17
france,19
george bush,45
george w. bush,56
gop,21
hillary clinton,36
huffingtonpost,34
huffingtonpost,17
iran,54
iranian,20
iraq,206
islamic,21
israel,29
john edwards,22
justice department,19
karl rove,19
libby,30
london,19
middle east,43
new york,38
new york times,53
pakistan,23
pentagon,24
president bush,23
republican party,21
saddam hussein,28
scooter libby,29
supreme court,34
texas,24
united nations,18
vietnam,27
washington post,36
