word,frequency
afghanistan,86
arizona,114
barack obama,104
bill clinton,36
california,94
chicago,29
china,49
christian,38
d.c.,39
democratic party,30
europe,30
florida,51
fox news,34
george w. bush,56
germany,30
glenn beck,31
goldman sachs,63
gop,56
harry reid,35
iran,39
iraq,86
israel,30
jan brewer,41
jewish,29
john mccain,54
justice,31
los angeles,33
main street,31
massachusetts,42
mexico,34
middle east,28
new york,76
new york city,27
new york times,63
obama administration,30
pentagon,35
reagan,30
republican party,60
ronald reagan,36
russia,46
san francisco,29
sarah palin,59
south,29
supreme court,84
tea party,91
texas,51
virginia,60
wall street,150
washington post,48
world war ii,30
