word,frequency
afghanistan,97
arizona,27
arlen specter,28
barack obama,163
bill clinton,35
bush administration,33
california,71
chicago,36
china,35
christian,32
cia,48
cnn,25
cuba,31
d.c.,26
democratic party,32
dick cheney,63
europe,50
florida,31
fox news,41
george bush,27
george w. bush,77
gop,49
hillary clinton,26
huffington post,30
iowa,27
iran,36
iraq,131
israel,28
john mccain,43
justice department,46
los angeles,28
mexico,37
middle east,29
new york,69
new york times,79
newt gingrich,35
obama administration,31
pakistan,43
pennsylvania,32
reagan,31
republican party,63
ronald reagan,29
rush limbaugh,29
san francisco,28
sarah palin,41
supreme court,49
texas,44
vietnam,25
wall street,62
washington post,40
