word,frequency
afghanistan,79
arizona,42
ayn rand,56
barack obama,162
bill clinton,46
california,68
catholic,43
china,63
christian,77
christians,38
colorado,40
democratic party,37
europe,61
florida,95
fox news,39
george w. bush,94
gop,174
huffingtonpost,56
huffingtonpost,53
iran,54
iraq,90
israel,59
jesus,40
joe biden,37
john mccain,61
london,44
massachusetts,69
medicaid,43
medicare,41
middle east,41
missouri,49
mitt romney,390
new york,88
new york times,87
ohio,59
paul ryan,277
pennsylvania,51
reagan,61
republican party,133
ronald reagan,63
sarah palin,67
supreme court,69
tampa,106
tea party,106
texas,85
todd akin,66
virginia,58
wall street,92
washington post,38
wisconsin,98
