word,frequency
afghanistan,65
alabama,31
assad,33
barack obama,77
bill clinton,29
bradley manning,29
british,29
california,72
canada,29
china,33
d.c.,52
edward snowden,56
egypt,42
florida,41
george w. bush,37
georgia,29
gop,55
house of representatives,25
huffington post,25
iran,41
iraq,80
israel,47
jobs,30
john kerry,28
john mccain,30
king,79
lincoln memorial,28
martin luther king,81
middle east,48
mississippi,28
new york,90
new york city,47
new york times,66
north carolina,41
nsa,47
pennsylvania,25
republican party,45
ronald reagan,28
russia,64
south,26
supreme court,90
syria,63
tea party,34
texas,54
vietnam,38
virginia,27
voting rights act,52
wall street,44
washington post,34
world war ii,31
