word,frequency
afghanistan,116
baghdad,64
barack obama,85
bowe bergdahl,35
british,43
california,76
china,73
d.c.,36
dick cheney,40
egypt,40
eric cantor,40
europe,43
european,35
france,38
french,37
george w. bush,63
germany,38
gop,49
hillary clinton,46
india,35
iran,101
iranian,41
iraq,199
isis,67
islamic,47
islamic state of iraq,35
israel,54
john kerry,36
john mccain,36
middle east,87
new york,86
new york times,73
pakistan,40
republican party,54
ronald reagan,41
russia,59
saddam hussein,54
saudi arabia,38
state department,36
sunni,62
supreme court,84
syria,119
taliban,52
tea party,52
texas,40
ukraine,50
vietnam,49
virginia,35
wall street,45
world war ii,43
