word,frequency
afghanistan,65
arkansas,36
barack,43
barack obama,281
bill,72
bill clinton,143
california,71
chicago,39
china,44
christian,40
cnn,54
democratic party,77
dick cheney,36
florida,83
fred thompson,37
george bush,59
george w. bush,72
giuliani,41
gop,57
hillary clinton,265
huckabee,83
huffington post,37
illinois,58
iowa,241
iran,94
iraq,253
israel,40
john edwards,157
john kerry,46
john mccain,120
kennedy,38
king,44
martin luther king,63
michigan,54
middle east,58
mike huckabee,92
mitt romney,81
nevada,79
new hampshire,226
new york,92
new york times,85
pakistan,62
reagan,36
ron paul,50
ronald reagan,45
rudy giuliani,52
senator obama,38
south carolina,125
supreme court,42
vietnam,37
