word,frequency
afghanistan,53
al gore,36
arizona,35
arkansas,32
barack,49
barack obama,315
bill,54
bill clinton,113
california,104
chicago,49
china,41
cnn,51
cuba,32
democratic party,102
florida,84
george bush,52
george w. bush,93
gop,46
hillary clinton,280
huckabee,34
illinois,64
iowa,61
iran,64
iraq,232
israel,38
john edwards,61
john kerry,50
john mccain,214
karl rove,35
kennedy,34
massachusetts,54
michigan,51
middle east,49
mike huckabee,42
mitt romney,43
new hampshire,59
new york,89
new york times,81
ohio,88
pakistan,36
pennsylvania,44
republican party,41
senator obama,53
south carolina,64
super tuesday,76
supreme court,35
texas,116
vietnam,35
virginia,34
wisconsin,36
