word,frequency
afghanistan,67
arizona,31
barack obama,164
bill clinton,72
british,42
california,85
canada,54
chicago,42
china,41
christian,30
cia,29
cnn,33
democratic party,47
don,34
europe,29
florida,38
fox news,36
george w. bush,76
germany,30
glenn beck,42
gop,72
hillary clinton,34
huffington post,32
huffingtonpost,64
iraq,111
israel,31
john f. kennedy,28
john mccain,41
kennedy,93
los angeles,35
massachusetts,49
medicare,69
new york,77
new york times,96
north korea,29
obama administration,31
pakistan,31
reagan,36
republican party,48
ronald reagan,38
rush limbaugh,47
sarah palin,67
senator,32
supreme court,44
ted kennedy,66
texas,40
vietnam,39
wall street,56
washington post,59
world war ii,36
