word,frequency
afghanistan,44
ahmadinejad,27
baghdad,52
barack obama,55
bill clinton,23
british,25
bush administration,26
california,48
china,33
david petraeus,38
democratic party,37
dick cheney,29
europe,23
florida,25
fred thompson,25
general petraeus,27
george bush,63
george w. bush,50
gop,46
hillary clinton,62
huffington post,30
huffingtonpost,58
iowa,27
iran,111
iranian,39
iraq,314
israel,44
john edwards,29
john kerry,25
john mccain,36
karl rove,33
mahmoud ahmadinejad,23
middle east,67
mitt romney,25
new york,68
new york times,62
pentagon,32
petraeus,62
president bush,22
reagan,22
republican party,24
rudy giuliani,25
saddam hussein,31
sunni,22
supreme court,26
syria,23
tehran,22
texas,26
vietnam,40
washington post,42
