word,frequency
afghanistan,49
barack obama,82
bill clinton,31
boston,33
british,33
california,110
chicago,33
china,85
christian,31
colorado,34
defense of marriage act,34
doma,38
edward snowden,81
europe,48
european,30
fbi,32
florida,39
fourth amendment,29
george w. bush,51
germany,30
google,33
gop,55
guardian,29
hong kong,34
huffington post,30
huffingtonpost,39
iran,46
iraq,75
israel,33
justice department,32
middle east,39
mitt romney,29
national security agency,58
new york,80
new york city,40
new york times,67
north carolina,32
nsa,97
patriot act,29
republican party,29
russia,53
san francisco,29
supreme court,144
syria,45
texas,101
vietnam,30
virginia,37
voting rights act,50
wall street,37
washington post,41
