word,frequency
affordable care act,57
afghanistan,84
arizona,46
barack obama,80
british,37
california,74
china,83
cold war,56
crimea,159
crimean,37
egypt,39
eu,50
europe,106
european,80
european union,56
florida,40
france,42
george w. bush,55
georgia,53
germany,65
gop,54
huffingtonpost,91
iran,93
iraq,87
israel,60
john kerry,44
kiev,54
middle east,56
moscow,60
nato,76
new york,73
new york city,42
new york times,76
putin,115
russia,200
russians,79
soviet,66
soviet union,81
supreme court,70
syria,91
texas,53
ukraine,184
ukrainians,45
united nations,40
vietnam,39
vladimir putin,92
wall street,41
west,84
western,72
world war ii,48
