word,frequency
afghanistan,98
arab,42
arizona,47
bahrain,36
barack obama,66
british,42
california,66
china,67
egypt,69
europe,38
florida,50
france,44
gaddafi,51
george w. bush,57
gop,76
iran,42
iraq,126
israel,35
japan,69
john boehner,33
king,43
libya,137
libyan,63
madison,43
medicare,35
middle east,90
muslim,45
new york,80
new york times,76
newt gingrich,35
ohio,65
pentagon,35
peter king,36
reagan,32
republican party,40
sarah palin,36
saudi arabia,36
scott walker,62
social security,39
state department,37
supreme court,63
tea party,68
texas,53
tunisia,34
united nations,34
walker,47
wall street,73
wisconsin,131
world war ii,40
yemen,38
