word,frequency
afghanistan,85
aig,43
barack obama,157
bill clinton,36
california,69
canada,26
capitol hill,32
china,41
cnn,29
democratic party,29
dick cheney,27
europe,35
federal reserve,25
florida,28
fox news,25
geithner,27
george bush,30
george w. bush,61
gop,47
great depression,25
hillary clinton,43
huffington post,25
iran,46
iraq,125
israel,42
japan,26
john mccain,43
limbaugh,30
mexico,27
middle east,39
new york,63
new york city,26
new york times,75
obama administration,30
pakistan,33
reagan,27
republican party,52
ronald reagan,26
rush,27
rush limbaugh,59
russia,29
sarah palin,35
taliban,31
texas,34
treasury,31
vietnam,25
virginia,25
wall street,90
wall street journal,26
washington post,43
