word,frequency
aca,37
affordable care act,68
afghanistan,55
barack obama,83
bill clinton,31
california,56
china,42
christian,29
d.c.,29
dallas,44
democratic party,30
europe,32
european,26
florida,37
france,36
george w. bush,34
germany,38
gop,55
hillary clinton,31
house of representatives,29
huffingtonpost,26
iran,58
iraq,65
israel,45
jfk,37
john f. kennedy,55
kennedy,77
lyndon johnson,28
massachusetts,32
medicare,27
middle east,33
new jersey,39
new york,73
new york city,41
new york times,59
obamacare,39
pennsylvania,26
republican party,42
ronald reagan,29
russia,36
social security,33
supreme court,53
syria,40
tea party,67
texas,60
vietnam,39
virginia,43
wall street,45
washington post,32
world war ii,31
