word,frequency
afghanistan,150
alaska,52
arizona,49
barack obama,126
bill clinton,60
california,110
chicago,41
china,63
christian,82
christine o'donnell,61
cnn,36
d.c.,43
delaware,51
democratic party,54
don,42
europe,37
florida,82
fox news,48
george w. bush,75
glenn beck,73
gop,104
ground zero,55
iran,53
iraq,156
islam,58
islamic,55
israel,46
jewish,47
joe miller,36
john boehner,40
manhattan,36
mexico,44
middle east,54
muslim,103
new york,121
new york city,38
new york times,103
newt gingrich,62
pakistan,39
pentagon,39
reagan,38
republican party,81
ronald reagan,39
sarah palin,91
social security,59
supreme court,53
tea party,156
terry jones,37
texas,39
wall street,121
