word,frequency
afghanistan,110
alabama,33
barack obama,157
bill clinton,39
british,35
california,106
capitol hill,36
chicago,40
china,70
christian,34
d.c.,34
democratic party,62
don,30
europe,46
florida,54
fox news,35
george w. bush,85
germany,30
glenn beck,54
gop,87
harry reid,40
hillary clinton,30
house of representatives,31
huffington post,32
huffingtonpost,42
iran,50
iraq,140
israel,58
israeli,32
john boehner,40
john mccain,44
massachusetts,48
michigan,32
middle east,39
nancy pelosi,60
new york,97
new york city,37
new york times,109
obama administration,32
pentagon,39
rahm emanuel,32
republican party,61
ronald reagan,32
sarah palin,61
supreme court,81
tea party,85
texas,83
virginia,32
wall street,90
washington post,32
