word,frequency
affordable care act,50
afghanistan,103
alabama,58
arizona,56
barack obama,149
california,87
catholic,49
china,82
christian,71
d.c.,62
europe,55
florida,99
george w. bush,68
georgia,39
gop,134
hillary clinton,42
iran,138
iranian,44
iraq,133
israel,95
israeli,57
jewish,56
john mccain,51
limbaugh,45
massachusetts,61
michigan,45
middle east,73
mississippi,52
mitt romney,210
new york,108
new york city,46
new york times,98
newt gingrich,102
ohio,55
pennsylvania,48
reagan,40
republican party,90
rick santorum,175
ron paul,71
ronald reagan,41
rush limbaugh,83
russia,48
sandra fluke,49
sarah palin,38
supreme court,115
syria,37
texas,76
virginia,50
wall street,82
washington post,42
