word,frequency
afghanistan,151
barack obama,181
beck,34
bill clinton,39
california,80
canada,39
china,53
christian,43
democratic party,47
dick cheney,34
europe,38
florida,39
fox news,57
george w. bush,72
germany,35
glenn beck,83
gop,73
hillary clinton,38
huffingtonpost,48
iran,47
iraq,163
israel,45
joe wilson,71
john mccain,47
kennedy,36
massachusetts,41
max baucus,49
medicare,50
nancy pelosi,35
new york,97
new york city,36
new york times,79
pakistan,48
pentagon,37
pittsburgh,36
reagan,35
republican party,53
ronald reagan,47
rush limbaugh,42
sarah palin,48
senate finance committee,36
south carolina,51
supreme court,45
taliban,44
ted kennedy,38
texas,47
vietnam,54
wall street,70
washington post,46
wilson,44
