word,frequency
afghanistan,73
arizona,25
bachmann,28
barack obama,64
bill clinton,23
boehner,34
california,47
canada,24
china,39
christian,34
d.c.,27
democratic party,26
eric cantor,30
europe,33
european,23
federal reserve,27
florida,36
france,26
george w. bush,48
gop,68
great depression,35
greece,28
harry reid,30
house of representatives,24
huffingtonpost,41
iraq,68
israel,28
john boehner,44
libya,28
medicare,26
michele bachmann,44
minnesota,25
mitch mcconnell,24
new york,69
new york times,64
ohio,25
pakistan,25
paul ryan,22
pentagon,26
reagan,34
republican party,63
ronald reagan,38
sarah palin,27
supreme court,32
tea party,96
texas,38
treasury,25
wall street,84
washington post,24
world war ii,25
