word,frequency
abraham lincoln,35
afghanistan,117
barack obama,165
bill clinton,46
california,78
chicago,40
china,54
christian,41
chuck hagel,70
cia,52
connecticut,44
d.c.,71
europe,63
florida,45
george w. bush,73
gop,75
hagel,57
huffingtonpost,39
iran,63
iraq,117
israel,74
jewish,47
joe biden,37
john kerry,37
king,55
lincoln,45
martin luther king,74
middle east,35
mitt romney,60
national rifle association,39
new york,100
new york city,52
new york times,89
newtown,70
nra,68
pakistan,40
pentagon,47
reagan,37
republican party,63
ronald reagan,42
sandy hook,55
second amendment,35
supreme court,100
tea party,42
texas,60
vietnam,60
virginia,39
wall street,86
washington post,44
world war ii,36
