word,frequency
afghanistan,30
al gore,29
baghdad,21
barack obama,19
bill clinton,16
british,22
bush administration,21
california,31
china,28
christian,24
democratic party,27
dick cheney,17
europe,21
falwell,17
florida,16
france,17
george bush,33
george w. bush,50
germany,20
gop,31
hillary clinton,25
hollywood,16
huffingtonpost,39
huffingtonpost,17
iran,22
iraq,197
jerry falwell,19
john edwards,23
john kerry,15
john mccain,21
justice department,19
los angeles,19
massachusetts,16
middle east,25
mitt romney,21
nancy pelosi,18
new york,39
new york city,19
new york times,44
paul wolfowitz,18
pentagon,15
president bush,15
reagan,16
republican party,21
ronald reagan,19
saddam hussein,17
supreme court,24
vietnam,25
washington post,26
world bank,15
