word,frequency
abu ghraib,31
afghanistan,97
arlen specter,41
barack obama,149
bill clinton,36
bush administration,37
california,88
china,38
christian,40
cia,48
democratic party,45
dick cheney,107
donald rumsfeld,30
europe,27
florida,33
george w. bush,81
gop,69
guantanamo,37
hillary clinton,28
iowa,28
iran,40
iraq,171
israel,37
john mccain,41
justice department,33
los angeles,28
middle east,32
nancy pelosi,33
new york,75
new york city,27
new york times,71
newt gingrich,35
obama administration,28
pakistan,43
pennsylvania,32
pentagon,41
republican party,70
rush limbaugh,54
san francisco,26
sarah palin,27
sonia sotomayor,39
sotomayor,34
specter,32
supreme court,112
taliban,27
texas,34
virginia,27
wall street,34
washington post,36
world war ii,31
