word,frequency
afghanistan,101
alaska,38
arizona,136
arkansas,38
barack obama,122
bp,82
british,46
california,98
capitol hill,38
china,50
christian,47
civil rights act,33
democratic party,44
elena kagan,53
europe,52
florida,45
fox news,39
george w. bush,55
glenn beck,33
goldman sachs,35
gop,83
gulf,87
huffington post,35
iran,42
iraq,103
israel,44
john mccain,54
kagan,40
kentucky,53
louisiana,38
mexican,39
mexico,102
mitch mcconnell,33
new york,93
new york times,94
obama administration,35
pakistan,47
paul,49
pennsylvania,51
rand paul,72
republican party,54
sarah palin,74
supreme court,110
tea party,83
texas,60
times square,43
vietnam,33
virginia,34
wall street,127
washington post,63
