word,frequency
afghanistan,105
africa,35
arab,45
assad,53
baghdad,44
barack obama,93
britain,41
british,56
california,73
china,71
egypt,36
europe,77
european,50
ferguson,48
france,49
gaza,34
george w. bush,51
germany,42
india,38
iran,80
iraq,217
isil,61
isis,139
islamic,64
islamic state,93
israel,68
israeli,35
libya,50
middle east,123
missouri,35
nato,52
new york,106
new york city,53
new york times,66
pakistan,41
russia,83
saddam hussein,35
saudi arabia,57
sunni,48
supreme court,57
syria,181
texas,44
turkey,52
ukraine,63
un,49
united nations,51
vietnam,37
wall street,43
west,56
western,45
