word,frequency
afghanistan,95
ahmadinejad,27
barack obama,126
bill clinton,36
british,27
cairo,41
california,72
capitol hill,26
chicago,31
china,37
christian,51
cnn,25
democratic party,28
dick cheney,42
europe,40
florida,25
fox news,27
george tiller,36
george w. bush,79
gop,32
hillary clinton,27
huffington post,27
iran,114
iranian,57
iranians,38
iraq,119
islamic,31
israel,56
jewish,32
john mccain,38
kansas,25
middle east,51
muslim,42
new york,77
new york times,65
newt gingrich,27
pakistan,32
pentagon,32
republican party,31
ronald reagan,30
rush limbaugh,30
sarah palin,35
sonia sotomayor,36
supreme court,86
taliban,27
tehran,40
texas,31
tiller,47
virginia,30
wall street,31
