word,frequency
affordable care act,31
afghanistan,55
alabama,28
arizona,53
barack obama,109
bill clinton,36
british,31
california,64
china,55
christian,30
citizens united,33
d.c.,40
democratic party,28
europe,44
european,38
florida,85
france,31
george w. bush,60
gop,84
huffington post,28
iran,55
iraq,61
israel,46
john mccain,30
massachusetts,42
mexico,28
middle east,30
mitt romney,166
new jersey,27
new york,92
new york city,36
new york times,77
newt gingrich,41
ohio,28
paul ryan,48
pennsylvania,36
pentagon,28
reagan,28
republican party,63
rick santorum,52
ronald reagan,33
russia,31
supreme court,130
tea party,38
texas,52
trayvon martin,45
u.s. supreme court,29
virginia,31
wall street,65
wisconsin,48
