word,frequency
affordable care act,44
afghanistan,74
barack obama,62
california,78
china,68
chris christie,49
christie,42
colorado,51
d.c.,32
democratic party,28
edward snowden,32
europe,44
european,31
florida,37
george w. bush,41
gop,69
hillary clinton,34
india,34
iran,72
iraq,70
israel,45
israeli,33
jewish,32
johnson,31
king,43
martin luther king,46
mexico,33
middle east,47
new jersey,61
new york,90
new york city,48
new york times,70
nsa,41
pentagon,30
republican party,36
ronald reagan,28
russia,49
state,31
supreme court,51
syria,47
tea party,40
texas,49
union,44
vietnam,37
virginia,28
wall street,61
war,32
washington post,39
world economic forum,27
world war ii,28
