word,frequency
afghanistan,74
africa,28
asia,41
barack obama,71
benghazi,35
california,62
china,83
christian,44
d.c.,32
europe,80
european,58
florida,35
france,28
george w. bush,37
georgia,29
germany,27
gop,41
hillary clinton,47
huffingtonpost,28
india,28
iran,49
iraq,79
israel,51
israeli,35
japan,32
jewish,36
john kerry,30
libya,27
middle east,44
new york,91
new york city,38
nigeria,28
north carolina,29
ohio,34
pakistan,27
putin,32
republican party,35
russia,81
soviet union,30
supreme court,75
syria,53
tea party,32
texas,38
ukraine,72
vietnam,48
vladimir putin,27
wall street,33
washington post,33
west,27
world war ii,38
