word,frequency
afghanistan,69
arizona,60
barack obama,115
california,104
catholic,70
china,62
christian,81
citizens united,36
colorado,42
democratic party,35
europe,44
european,34
florida,99
george w. bush,60
gop,141
iowa,48
iran,79
iraq,92
israel,58
jesus,34
jewish,36
john mccain,40
massachusetts,78
michigan,74
middle east,35
missouri,35
mitt romney,215
muslim,32
nevada,37
new jersey,32
new york,81
new york times,78
newt gingrich,141
ohio,55
pakistan,32
paul,46
pennsylvania,33
planned parenthood,46
reagan,34
republican party,94
rick santorum,171
ron paul,79
ronald reagan,42
south carolina,47
supreme court,100
tea party,49
texas,48
virginia,37
wall street,77
washington post,35
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
mitt romney,215
,
rick santorum,171
,
newt gingrich,141
,
gop,141
,
barack obama,115
,
california,104
,
supreme court,100
,
florida,99
,
republican party,94
,
iraq,92
,
new york,81
,
christian,81
,
ron paul,79
,
iran,79
,
new york times,78
,
massachusetts,78
,
wall street,77
,
michigan,74
,
catholic,70
,
afghanistan,69
,
china,62
,
george w. bush,60
,
arizona,60
,
israel,58
,
ohio,55
,
tea party,49
,
texas,48
,
iowa,48
,
south carolina,47
,
planned parenthood,46
,
paul,46
,
europe,44
,
ronald reagan,42
,
colorado,42
,
john mccain,40
,
virginia,37
,
nevada,37
,
jewish,36
,
citizens united,36
,
washington post,35
,
missouri,35
,
middle east,35
,
democratic party,35
,
reagan,34
,
jesus,34
,
european,34
,
pennsylvania,33
,
pakistan,32
,
new jersey,32
,
muslim,32
