word,frequency
afghanistan,151
african american,39
barack obama,199
bill clinton,59
california,97
china,65
citizens united,37
d.c.,38
democratic party,73
detroit,39
europe,41
george w. bush,88
gop,64
haiti,54
harry reid,67
hillary clinton,42
huffington post,39
huffingtonpost,38
iran,49
iraq,136
john mccain,52
kennedy,39
king,38
main street,42
martha coakley,67
martin luther king,46
massachusetts,200
medicare,37
middle east,43
new jersey,45
new york,103
new york times,91
obama administration,37
pakistan,45
reagan,34
reid,44
republican party,65
ronald reagan,36
sarah palin,55
scott brown,115
state,41
supreme court,106
tea party,59
ted kennedy,72
texas,35
union,50
virginia,49
wall street,175
washington post,57
yemen,50
