word,frequency
affordable care act,78
afghanistan,64
arizona,52
aurora,38
bain,39
bain capital,59
barack obama,110
bill clinton,32
british,47
california,65
chicago,33
china,63
christian,37
citizens united,39
colorado,54
d.c.,41
europe,66
florida,81
george w. bush,65
germany,33
gop,67
huffingtonpost,36
iran,45
iraq,62
israel,42
jewish,32
john mccain,47
london,34
massachusetts,61
medicare,35
mexico,35
mitt romney,216
new jersey,36
new york,89
new york city,41
new york times,70
ohio,47
pennsylvania,44
pentagon,32
reagan,39
republican party,47
ronald reagan,32
social security,36
supreme court,152
tea party,40
texas,67
virginia,43
wall street,76
washington post,41
world war ii,34
