word,frequency
afghanistan,125
africa,37
african american,42
barack obama,415
bill clinton,69
bush administration,45
california,87
chicago,68
china,52
cia,36
cnn,40
d.c.,45
democratic party,40
dick cheney,61
europe,36
gaza,80
george bush,77
george w. bush,155
gop,42
great depression,43
hamas,54
hillary clinton,81
huffington post,39
illinois,79
iran,64
iraq,223
israel,85
israeli,58
john mccain,55
kennedy,43
king,45
lincoln,54
martin luther king,66
middle east,95
new york,101
new york times,79
ohio,41
oval office,37
pakistan,44
palestinian,50
reagan,35
rick warren,53
rod blagojevich,38
sarah palin,43
state,44
supreme court,53
texas,36
vietnam,46
wall street,73
washington post,41
