word,frequency
afghanistan,42
al gore,26
al qaeda,21
alberto gonzales,28
baghdad,35
barack obama,42
bill clinton,31
british,21
bush administration,20
california,40
chicago,31
china,36
democratic party,22
dick cheney,32
florida,23
george bush,54
george w. bush,58
gonzales,21
gop,32
hillary clinton,59
huffington post,31
huffingtonpost,39
iowa,33
iran,64
iraq,243
israel,28
john edwards,39
john kerry,24
john mccain,20
justice department,19
karl rove,57
katrina,28
middle east,37
mitt romney,26
new orleans,38
new york,65
new york times,54
pakistan,37
pentagon,26
president bush,28
republican party,29
rove,34
rudy giuliani,33
saddam hussein,23
saudi arabia,21
supreme court,28
texas,41
vietnam,47
vietnam war,20
washington post,35
