word,frequency
afghanistan,110
arab,44
bain capital,44
barack obama,243
bill clinton,118
california,93
charlotte,121
chicago,51
china,91
christian,69
clint eastwood,51
democratic national convention,72
democratic party,66
egypt,48
europe,59
florida,128
fox news,50
george w. bush,128
gop,150
hillary clinton,43
huffingtonpost,59
iran,83
iraq,127
israel,96
israeli,47
jewish,48
joe biden,46
john mccain,62
libya,71
massachusetts,85
medicare,74
middle east,99
mitt romney,443
muslim,64
new york,97
new york times,91
north carolina,65
ohio,82
paul ryan,173
pennsylvania,46
reagan,48
republican party,124
ronald reagan,73
supreme court,70
tampa,83
tea party,69
texas,72
virginia,51
wall street,110
wisconsin,54
