word,frequency
affordable care act,43
afghanistan,70
arizona,47
barack obama,66
bill clinton,31
british,40
california,60
china,67
d.c.,28
europe,63
european,44
florida,42
george w. bush,35
germany,33
gop,50
hillary clinton,29
india,42
iran,68
iraq,58
israel,48
israeli,31
jewish,31
john kerry,32
middle east,50
moscow,28
new jersey,33
new york,83
new york city,37
new york times,56
north carolina,29
olympics,29
pakistan,31
putin,29
republican party,31
russia,81
sochi,34
state,31
supreme court,50
syria,45
taliban,33
tea party,27
texas,52
ukraine,41
union,34
united nations,32
vietnam,27
wall street,42
washington post,31
west,29
western,39
