word,frequency
adam lanza,43
afghanistan,66
aurora,49
barack obama,111
boehner,37
california,76
canada,33
chicago,45
china,41
christian,37
christmas,35
colorado,58
connecticut,105
d.c.,52
europe,43
florida,40
fox news,37
george w. bush,56
gop,74
illinois,35
iran,36
iraq,68
israel,48
jesus,34
john boehner,54
massachusetts,41
medicare,62
michigan,41
middle east,37
mitt romney,74
national rifle association,51
new jersey,36
new york,85
new york city,50
new york times,73
newtown,111
nra,110
ohio,42
pentagon,33
republican party,74
sandy hook,91
second amendment,60
supreme court,72
tea party,58
texas,59
vietnam,34
virginia,38
wall street,60
washington post,44
wayne lapierre,39
