word,frequency
afghanistan,57
africa,39
african-american,33
arab,36
asia,33
baghdad,33
barack obama,79
british,43
california,51
china,49
egypt,51
europe,75
european,45
ferguson,128
france,32
gaza,104
george w. bush,47
germany,38
gop,42
hamas,79
iran,58
iraq,150
isis,68
islamic,36
islamic state,47
israel,115
israeli,86
israelis,45
jewish,41
libya,43
los angeles,32
michael brown,84
middle east,107
missouri,101
new york,84
new york times,67
palestinian,67
palestinians,51
russia,72
saudi arabia,38
st. louis,33
supreme court,47
syria,99
texas,45
turkey,36
ukraine,60
united nations,39
vietnam,41
west,35
western,34
