word,frequency
afghanistan,31
al gore,22
baghdad,23
barack obama,49
bill clinton,23
british,20
bush administration,32
california,37
catholic,16
china,26
christian,25
cia,19
cnn,20
democratic party,21
dick cheney,39
fox,21
fox news,21
george bush,34
george w. bush,30
gop,17
hillary clinton,35
hollywood,17
huffingtonpost,19
iowa,19
iran,62
iranian,21
iraq,232
israel,18
joe biden,17
john edwards,28
john kerry,17
john mccain,28
karl rove,20
libby,37
middle east,33
nancy pelosi,22
new york,48
new york times,51
pentagon,21
president bush,17
saddam hussein,20
san francisco,18
scooter libby,23
texas,21
tim russert,15
vice president,20
vietnam,34
washington post,46
web,15
wilson,17
