word,frequency
afghanistan,77
al gore,41
baghdad,48
barack,45
barack obama,327
bill,55
bill clinton,115
california,57
chicago,53
china,56
christian,53
cnn,37
democratic party,106
denver,37
eliot spitzer,51
florida,100
george bush,54
george w. bush,79
geraldine ferraro,38
gop,47
hillary clinton,279
huffingtonpost,53
illinois,52
iowa,41
iran,89
iraq,325
israel,46
jeremiah wright,57
john mccain,217
michigan,85
middle east,68
muslim,35
new hampshire,36
new york,133
new york times,91
north carolina,32
ohio,143
pakistan,36
pennsylvania,109
pentagon,36
republican party,32
saddam hussein,48
senator obama,66
south carolina,36
spitzer,41
supreme court,33
texas,125
vietnam,45
washington post,45
wright,60
