word,frequency
afghanistan,106
barack obama,134
bill clinton,40
california,55
chicago,33
china,73
christian,39
d.c.,46
egypt,33
europe,50
florida,51
france,32
george w. bush,76
georgia,32
germany,33
gop,91
iran,35
iraq,105
israel,68
israeli,36
jewish,34
libya,33
massachusetts,36
medicare,43
michele bachmann,50
middle east,56
mitt romney,57
muslim,38
new york,120
new york city,52
new york times,71
pakistan,33
palestinian,32
pentagon,45
perry,85
reagan,34
republican party,52
rick perry,123
ron paul,31
ronald reagan,48
sarah palin,33
social security,37
supreme court,49
tea party,101
texas,125
united nations,33
vietnam,33
wall street,102
washington post,40
world trade center,35
